"V1" "V2"
"orthoMCL0325" "4" "c_4"
"orthoMCL0326" "4" "c_4"
"orthoMCL0327" "3" "c_3"
"orthoMCL0328" "4" "c_4"
"orthoMCL0329" "4" "c_4"
"orthoMCL0330" "3" "c_3"
"orthoMCL0331" "4" "c_4"
"orthoMCL0332" "3" "c_3"
"orthoMCL0333" "3" "c_3"
"orthoMCL0334" "4" "c_4"
"orthoMCL0335" "3" "c_3"
"orthoMCL0336" "4" "c_4"
"orthoMCL0337" "3" "c_3"
"orthoMCL0338" "3" "c_3"
"orthoMCL0339" "4" "c_4"
"orthoMCL0340" "4" "c_4"
"orthoMCL0341" "3" "c_3"
"orthoMCL0342" "4" "c_4"
"orthoMCL0343" "3" "c_3"
"orthoMCL0344" "3" "c_3"
"orthoMCL0345" "3" "c_3"
"orthoMCL0346" "3" "c_3"
"orthoMCL0347" "4" "c_4"
"orthoMCL0348" "3" "c_3"
"orthoMCL0349" "4" "c_4"
"orthoMCL0350" "4" "c_4"
"orthoMCL0351" "3" "c_3"
"orthoMCL0352" "3" "c_3"
"orthoMCL0353" "4" "c_4"
"orthoMCL0354" "4" "c_4"
"orthoMCL0355" "4" "c_4"
"orthoMCL0356" "3" "c_3"
"orthoMCL0357" "4" "c_4"
"orthoMCL0358" "3" "c_3"
"orthoMCL0359" "4" "c_4"
"orthoMCL0360" "4" "c_4"
"orthoMCL0361" "4" "c_4"
"orthoMCL0362" "4" "c_4"
"orthoMCL0363" "4" "c_4"
"orthoMCL0364" "4" "c_4"
"orthoMCL0365" "3" "c_3"
"orthoMCL0366" "4" "c_4"
"orthoMCL0367" "4" "c_4"
"orthoMCL0368" "3" "c_3"
"orthoMCL0369" "4" "c_4"
"orthoMCL0370" "3" "c_3"
"orthoMCL0371" "3" "c_3"
"orthoMCL0372" "3" "c_3"
"orthoMCL0373" "4" "c_4"
"orthoMCL0374" "3" "c_3"
"orthoMCL0375" "4" "c_4"
"orthoMCL0376" "3" "c_3"
"orthoMCL0377" "3" "c_3"
"orthoMCL0378" "4" "c_4"
"orthoMCL0379" "4" "c_4"
"orthoMCL0380" "3" "c_3"
"orthoMCL0381" "4" "c_4"
"orthoMCL0382" "3" "c_3"
"orthoMCL0383" "3" "c_3"
"orthoMCL0384" "3" "c_3"
"orthoMCL0385" "3" "c_3"
"orthoMCL0386" "3" "c_3"
"orthoMCL0387" "3" "c_3"
"orthoMCL0388" "3" "c_3"
"orthoMCL0389" "3" "c_3"
"orthoMCL0390" "4" "c_4"
"orthoMCL0391" "4" "c_4"
"orthoMCL0392" "3" "c_3"
"orthoMCL0393" "4" "c_4"
"orthoMCL0394" "3" "c_3"
"orthoMCL0395" "4" "c_4"
"orthoMCL0396" "3" "c_3"
"orthoMCL0397" "4" "c_4"
"orthoMCL0398" "4" "c_4"
"orthoMCL0399" "4" "c_4"
"orthoMCL0400" "4" "c_4"
"orthoMCL0401" "3" "c_3"
"orthoMCL0402" "3" "c_3"
"orthoMCL0403" "4" "c_4"
"orthoMCL0404" "3" "c_3"
"orthoMCL0405" "3" "c_3"
"orthoMCL0406" "4" "c_4"
"orthoMCL0407" "4" "c_4"
"orthoMCL0408" "3" "c_3"
"orthoMCL0409" "3" "c_3"
"orthoMCL0410" "3" "c_3"
"orthoMCL0411" "3" "c_3"
"orthoMCL0412" "3" "c_3"
"orthoMCL0413" "3" "c_3"
"orthoMCL0414" "4" "c_4"
"orthoMCL0415" "3" "c_3"
"orthoMCL0416" "3" "c_3"
"orthoMCL0417" "3" "c_3"
"orthoMCL0418" "4" "c_4"
"orthoMCL0419" "3" "c_3"
"orthoMCL0420" "3" "c_3"
"orthoMCL0421" "3" "c_3"
"orthoMCL0422" "3" "c_3"
"orthoMCL0423" "3" "c_3"
"orthoMCL0424" "3" "c_3"
"orthoMCL0425" "4" "c_4"
"orthoMCL0426" "3" "c_3"
"orthoMCL0427" "3" "c_3"
"orthoMCL0428" "3" "c_3"
"orthoMCL0429" "3" "c_3"
"orthoMCL0430" "4" "c_4"
"orthoMCL0431" "3" "c_3"
"orthoMCL0432" "3" "c_3"
"orthoMCL0433" "4" "c_4"
"orthoMCL0434" "3" "c_3"
"orthoMCL0435" "3" "c_3"
"orthoMCL0436" "3" "c_3"
"orthoMCL0437" "3" "c_3"
"orthoMCL0438" "4" "c_4"
"orthoMCL0439" "4" "c_4"
"orthoMCL0440" "4" "c_4"
"orthoMCL0441" "3" "c_3"
"orthoMCL0442" "4" "c_4"
"orthoMCL0443" "3" "c_3"
"orthoMCL0444" "3" "c_3"
"orthoMCL0445" "3" "c_3"
"orthoMCL0446" "3" "c_3"
"orthoMCL0447" "3" "c_3"
"orthoMCL0448" "3" "c_3"
"orthoMCL0449" "3" "c_3"
"orthoMCL0450" "3" "c_3"
"orthoMCL0451" "3" "c_3"
"orthoMCL0452" "4" "c_4"
"orthoMCL0453" "4" "c_4"
"orthoMCL0454" "3" "c_3"
"orthoMCL0455" "4" "c_4"
"orthoMCL0456" "3" "c_3"
"orthoMCL0457" "3" "c_3"
"orthoMCL0458" "3" "c_3"
"orthoMCL0459" "3" "c_3"
"orthoMCL0460" "3" "c_3"
"orthoMCL0461" "3" "c_3"
"orthoMCL0462" "3" "c_3"
"orthoMCL0463" "4" "c_4"
"orthoMCL0464" "3" "c_3"
"orthoMCL0465" "3" "c_3"
"orthoMCL0466" "3" "c_3"
"orthoMCL0467" "3" "c_3"
"orthoMCL0468" "3" "c_3"
"orthoMCL0469" "3" "c_3"
"orthoMCL0470" "3" "c_3"
"orthoMCL0471" "3" "c_3"
"orthoMCL0472" "4" "c_4"
"orthoMCL0473" "3" "c_3"
"orthoMCL0474" "4" "c_4"
"orthoMCL0475" "3" "c_3"
"orthoMCL0476" "3" "c_3"
"orthoMCL0477" "3" "c_3"
"orthoMCL0478" "3" "c_3"
"orthoMCL0479" "3" "c_3"
"orthoMCL0480" "3" "c_3"
"orthoMCL0481" "3" "c_3"
"orthoMCL0482" "3" "c_3"
"orthoMCL0483" "3" "c_3"
"orthoMCL0484" "3" "c_3"
"orthoMCL0485" "3" "c_3"
"orthoMCL0486" "4" "c_4"
"orthoMCL0487" "3" "c_3"
"orthoMCL0488" "4" "c_4"
"orthoMCL0489" "4" "c_4"
"orthoMCL0490" "3" "c_3"
"orthoMCL0491" "4" "c_4"
"orthoMCL0492" "3" "c_3"
"orthoMCL0493" "3" "c_3"
"orthoMCL0494" "3" "c_3"
"orthoMCL0495" "3" "c_3"
"orthoMCL0496" "3" "c_3"
"orthoMCL0497" "3" "c_3"
"orthoMCL0498" "3" "c_3"
"orthoMCL0499" "3" "c_3"
"orthoMCL0500" "3" "c_3"
"orthoMCL0501" "3" "c_3"
"orthoMCL0502" "3" "c_3"
"orthoMCL0503" "3" "c_3"
"orthoMCL0504" "3" "c_3"
"orthoMCL0505" "3" "c_3"
"orthoMCL0506" "3" "c_3"
"orthoMCL0507" "3" "c_3"
"orthoMCL0508" "3" "c_3"
"orthoMCL0509" "3" "c_3"
"orthoMCL0510" "3" "c_3"
"orthoMCL0511" "3" "c_3"
"orthoMCL0512" "3" "c_3"
"orthoMCL0513" "3" "c_3"
"orthoMCL0514" "3" "c_3"
"orthoMCL0515" "3" "c_3"
"orthoMCL0516" "3" "c_3"
"orthoMCL0517" "3" "c_3"
"orthoMCL0518" "3" "c_3"
"orthoMCL0519" "4" "c_4"
"orthoMCL0520" "3" "c_3"
"orthoMCL0521" "3" "c_3"
"orthoMCL0522" "3" "c_3"
"orthoMCL0523" "3" "c_3"
"orthoMCL0524" "3" "c_3"
"orthoMCL0525" "3" "c_3"
"orthoMCL0526" "3" "c_3"
"orthoMCL0527" "3" "c_3"
"orthoMCL0528" "4" "c_4"
"orthoMCL0529" "4" "c_4"
"orthoMCL0530" "3" "c_3"
"orthoMCL0531" "3" "c_3"
"orthoMCL0532" "3" "c_3"
"orthoMCL0533" "3" "c_3"
"orthoMCL0534" "3" "c_3"
"orthoMCL0535" "4" "c_4"
"orthoMCL0536" "4" "c_4"
"orthoMCL0537" "3" "c_3"
"orthoMCL0538" "3" "c_3"
"orthoMCL0539" "3" "c_3"
"orthoMCL0540" "3" "c_3"
"orthoMCL0541" "3" "c_3"
"orthoMCL0542" "3" "c_3"
"orthoMCL0543" "3" "c_3"
"orthoMCL0544" "3" "c_3"
"orthoMCL0545" "4" "c_4"
"orthoMCL0546" "3" "c_3"
"orthoMCL0547" "3" "c_3"
"orthoMCL0548" "3" "c_3"
"orthoMCL0549" "3" "c_3"
"orthoMCL0550" "3" "c_3"
"orthoMCL0551" "4" "c_4"
"orthoMCL0552" "3" "c_3"
"orthoMCL0553" "3" "c_3"
"orthoMCL0554" "3" "c_3"
"orthoMCL0555" "3" "c_3"
"orthoMCL0556" "3" "c_3"
"orthoMCL0557" "3" "c_3"
"orthoMCL0558" "3" "c_3"
"orthoMCL0559" "3" "c_3"
"orthoMCL0560" "3" "c_3"
"orthoMCL0561" "3" "c_3"
"orthoMCL0562" "3" "c_3"
"orthoMCL0563" "3" "c_3"
