"dist" "gap" "cnt" "max" "mean"
"orthoMCL0173" 14373.9687809566 36 65 4 0.738738738738739
"orthoMCL0174" 16470.0476421477 8 71 2 0.738738738738739
"orthoMCL0175" 1400.24209658738 3 24 13 0.72972972972973
"orthoMCL0176" 14421.9740048956 43 65 3 0.72972972972973
"orthoMCL0177" 1193.77510343597 5 22 10 0.72972972972973
"orthoMCL0178" 1508.76270545886 2 25 19 0.72972972972973
"orthoMCL0179" 7703.25890157029 30 49 8 0.720720720720721
"orthoMCL0180" 2390.35253050623 43 29 12 0.720720720720721
"orthoMCL0181" 1191.8837786142 5 22 26 0.720720720720721
"orthoMCL0182" 1171.19827950813 5 22 15 0.720720720720721
"orthoMCL0183" 1063.86391199666 6 21 15 0.720720720720721
"orthoMCL0184" 830.192664750786 8 19 11 0.711711711711712
"orthoMCL0185" 1646.2149074866 1 26 8 0.711711711711712
"orthoMCL0186" 1636.71058177544 1 26 8 0.702702702702703
"orthoMCL0187" 1154.53081883975 5 22 10 0.702702702702703
"orthoMCL0188" 1077.57836582152 6 21 14 0.702702702702703
"orthoMCL0189" 607.06160801704 11 16 31 0.702702702702703
"orthoMCL0190" 1069.20510193786 2 21 15 0.693693693693694
"orthoMCL0191" 1286.9176521552 3 23 25 0.693693693693694
"orthoMCL0192" 327.94883981248 2 13 17 0.684684684684685
"orthoMCL0193" 4264.53893287767 21 37 7 0.675675675675676
"orthoMCL0194" 7880.58682528071 22 50 5 0.675675675675676
"orthoMCL0195" 1185.1345021144 5 22 20 0.675675675675676
"orthoMCL0196" 1766.48272966938 0 27 5 0.675675675675676
"orthoMCL0197" 1186.75941039432 2 22 13 0.675675675675676
"orthoMCL0198" 1516.18586080188 3 25 14 0.675675675675676
"orthoMCL0199" 1766.48272966938 0 27 9 0.666666666666667
"orthoMCL0200" 3544.69664473297 60 34 12 0.666666666666667
"orthoMCL0201" 433.099223492997 0 15 12 0.666666666666667
"orthoMCL0202" 10465.9771154903 39 53 3 0.666666666666667
"orthoMCL0203" 1416.54428977362 3 24 19 0.657657657657658
"orthoMCL0204" 5268.89290729368 48 41 10 0.63963963963964
"orthoMCL0205" 10005.4909823304 17 55 3 0.63963963963964
"orthoMCL0206" 1390.26206796836 3 24 10 0.63963963963964
"orthoMCL0207" 1070.29820491803 5 21 18 0.63963963963964
"orthoMCL0208" 1169.23858357275 5 22 13 0.630630630630631
"orthoMCL0209" 973.902508614666 7 20 14 0.630630630630631
"orthoMCL0210" 781.165879580534 7 18 28 0.621621621621622
"orthoMCL0211" 14168.3736047356 32 62 3 0.621621621621622
"orthoMCL0212" 1524.67111372126 2 25 14 0.621621621621622
"orthoMCL0213" 1287.86081523968 4 23 15 0.621621621621622
"orthoMCL0214" 510.490281525596 10 15 16 0.621621621621622
"orthoMCL0215" 306.778190419918 55 11 50 0.612612612612613
"orthoMCL0216" 1156.85213175934 5 22 16 0.612612612612613
"orthoMCL0217" 325.016571129979 2 13 13 0.612612612612613
"orthoMCL0218" 1175.4305725515 5 22 10 0.603603603603604
"orthoMCL0219" 2445.0932888481 34 30 7 0.603603603603604
"orthoMCL0220" 1164.3536181485 5 22 14 0.603603603603604
"orthoMCL0221" 433.099223492997 0 15 11 0.594594594594595
"orthoMCL0222" 1413.22584357918 3 24 6 0.576576576576577
"orthoMCL0223" 1287.7013119545 5 23 11 0.576576576576577
"orthoMCL0224" 777.41713655148 9 18 24 0.576576576576577
"orthoMCL0225" 1178.10961971969 22 21 12 0.567567567567568
"orthoMCL0226" 20.4100335770786 13 3 56 0.567567567567568
"orthoMCL0227" 1902.22106188607 0 28 5 0.567567567567568
"orthoMCL0228" 979.828522449801 7 20 9 0.567567567567568
"orthoMCL0229" 884.345673061669 7 19 18 0.567567567567568
"orthoMCL0230" 1184.52727114001 5 22 8 0.54954954954955
"orthoMCL0231" 59.3190501599707 0 7 11 0.54954954954955
"orthoMCL0232" 314.628112004128 29 11 14 0.54954954954955
"orthoMCL0233" 18.923353410914 47 3 59 0.54954954954955
"orthoMCL0234" 6696.06123593739 25 47 2 0.540540540540541
"orthoMCL0235" 1394.76748021056 4 24 8 0.540540540540541
"orthoMCL0236" 1078.28025605898 6 21 13 0.540540540540541
"orthoMCL0237" 1295.24655234728 3 23 6 0.540540540540541
"orthoMCL0238" 1266.76654324567 4 23 8 0.540540540540541
"orthoMCL0239" 327.436386929042 2 13 11 0.540540540540541
"orthoMCL0240" 2722.54604142918 48 29 7 0.531531531531532
"orthoMCL0241" 34.7656194203191 18 4 56 0.531531531531532
"orthoMCL0242" 1951.44702252978 43 27 9 0.531531531531532
"orthoMCL0243" 1508.76270545886 2 25 7 0.531531531531532
"orthoMCL0244" 877.864472077859 5 19 8 0.531531531531532
"orthoMCL0245" 1195.15338884528 5 22 9 0.531531531531532
"orthoMCL0246" 5888.68395851528 21 43 5 0.531531531531532
"orthoMCL0247" 1279.01055756369 4 23 14 0.531531531531532
"orthoMCL0248" 440.630036597125 20 13 38 0.531531531531532
